Artist ID,Name,Nationality,Gender,Birth Year,Death Year,wikidata_id,match_status,source
1160,Stanley T. Clough,American,Male,,,,,
1161,William Clutz,American,Male,1933.0,,,,
1162,Gerald Coble,American,Male,1933.0,,,,
1163,Chema Cobo,Spanish,Male,1952.0,,,,
1167,Sam Cocomise,Nationality unknown,Male,,,,,
1170,Sue Coe,British,Female,1951.0,,,,
1171,Haskell Coffin,American,Male,,,,,
1172,Bernard Cohen,British,Male,1933.0,,,,
1175,Mark Cohen,American,Male,1943.0,,,,
1176,Sheldon Cohen,Canadian,Male,1949.0,,,,
1177,Pinchas Cohen Gan,Israeli,Male,1942.0,,,,
1179,Van Deren Coke,American,Male,1921.0,,,,
1180,Luigi Colani,German,Male,1928.0,,,,
1181,Isaac I. Cole,American,Male,,,,,
1184,Warrington Colescott,American,Male,1921.0,,,,
1186,Edward Colker,American,Male,1927.0,,,,
1189,Leo Collins,American,Male,,,,,
1194,Gino Colombini,Italian,Male,1915.0,,,,
1199,Greg Colson,American,Male,1956.0,,,,
1202,Ian Colverson,British,Male,1940.0,,,,
1204,Franklin Colvin,American,Male,,,,,
1207,Edward Condak,American,Male,,,,,
1208,Miguel Conde,Mexican,Male,1939.0,,,,
1210,George Condo,American,Male,1957.0,,,,
1213,Lee Conklin,American,Female,1941.0,,,,
1216,Gregory Conniff,American,Male,1944.0,,,,
1217,Linda Connor,American,Female,1944.0,,,,
1218,Robert Conover,American,Male,,,,,
1219,Conrad,American,,,,,,
1220,Conran Associates,British,,1955.0,,,,
1223,Denis Constanduros,Nationality unknown,Male,,,,,
1226,D. Constantin,Greek,Male,,,,,
1229,Lia Cook,American,Female,1942.0,,,,
1241,Al Corchia,American,Male,1935.0,,,,
1249,Corning Glass Works,American,,1851.0,,,,
1250,Hector Coronado,Mexican,Male,1938.0,,,,
1255,Gloria Cortella,American,Female,1929.0,,,,
1256,Erasto Cortes Juarez,Mexican,Male,,,,,
1257,Jean Cortot,French,Male,1925.0,,,,
1258,Steven Cortright,American,Male,1942.0,,,,
1260,Marie Cosindas,American,Female,1925.0,,,,
1261,Herman Costa,American,Male,1944.0,,,,
1264,Flavio Costantini,Italian,Male,,,,,
1266,Alan Cote,American,Male,1937.0,,,,
